Type,Key,Default,Translation,Character Limit
quiz,offer:OZu4Ru4PUnhEJEhU6AI1R:orderTitle,Quiz,Teste,8
quiz,offer:OZu4Ru4PUnhEJEhU6AI1R:orderDescription,Completed,Concluído,24
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[0].description,What is the best selling comic book series of all time?,Qual é a série de quadrinhos mais vendida de todos os tempos?,66
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[0].question.answers[0],Superman,Super-Homem,22
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[0].question.answers[1],X-Men,X-Men,22
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[0].question.answers[2],Micky Maus,Mickey Mouse,22
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[0].question.answers[3],Spiderman,Homem-Aranha,22
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[1].description,When was Fantastic Four #1 debuted?,Quando o Quarteto Fantástico nº 1 estreou?,66
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[1].question.answers[0],1961,1961,22
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[1].question.answers[1],1963,1963,22
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[1].question.answers[2],1965,1965,22
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[1].question.answers[3],1969,1969,22
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[2].description,Which famous pop singer tried to purchase Marvel Comics in the 1990s?,Qual famoso cantor pop tentou comprar a Marvel Comics nos anos 90?,66
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[2].question.answers[0],George Michael,George Michael,22
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[2].question.answers[1],Michael Jackson,Michael Jackson,22
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[2].question.answers[2],Vanilla Ice,Vanilla Ice,22
quiz,offer_contents:OZu4Ru4PUnhEJEhU6AI1R:content:pages[2].question.answers[3],MC Hammer,MC Hammer,22
quiz,offer:ONhqueB7DtfPWq8uEaHwd:title,Take a quiz,Faça um teste,14
quiz,offer:ONhqueB7DtfPWq8uEaHwd:description,U.S Presidents,Presidente dos EUA,18
quiz,offer:ONhqueB7DtfPWq8uEaHwd:orderTitle,Quiz,Teste,8
quiz,offer:ONhqueB7DtfPWq8uEaHwd:orderDescription,Completed,Concluído,24
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[0].description,Who was a successful wrestler before his presidency?,Quem foi um lutador de sucesso antes de sua presidência?,66
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[0].question.answers[0],Ulysses S. Grant,Ulysses S. Grant,22
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[0].question.answers[1],Abraham Lincoln,Abraham Lincoln,22
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[0].question.answers[2],John Adams,John Adams,22
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[0].question.answers[3],Grover Cleveland,Grover Cleveland,22
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[1].description,Which president had a bowling alley put in the White House?,Qual presidente tinha um espaço de boliche na Casa Branca?,66
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[1].question.answers[0],Jimmy Carter,Jimmy Carter,22
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[1].question.answers[1],Lyndon B. Johnson,Lyndon B. Johnson,22
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[1].question.answers[2],Gerald Ford,Gerald Ford,22
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[1].question.answers[3],Richard Nixon,Richard Nixon,22
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[2].description,Which president was never elected by the voting public to president or vice president?,Qual presidente nunca foi eleito por voto público para o cargo?,66
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[2].question.answers[0],Gerald Ford,Gerald Ford,22
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[2].question.answers[1],Benjamin Harrison,Benjamin Harrison,22
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[2].question.answers[2],Chester A. Arthur,Chester A. Arthur,22
quiz,offer_contents:ONhqueB7DtfPWq8uEaHwd:content:pages[2].question.answers[3],Lyndon B. Johnson,Lyndon B. Johnson,22
quiz,offer:OvfHnBlsMnnVALfiXyk0V:title,Take a quiz,Faça um teste,14
quiz,offer:OvfHnBlsMnnVALfiXyk0V:description,Tourism,Turismo,18
quiz,offer:OvfHnBlsMnnVALfiXyk0V:orderTitle,Quiz,Teste,8
quiz,offer:OvfHnBlsMnnVALfiXyk0V:orderDescription,Completed,Concluído,24
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[0].description,Around how many people visit the Eiffel Tower each year?,Cerca de quantas pessoas visitam a Torre Eiffel por ano?,66
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[0].question.answers[0],4.4 Million,"4,4 Milhões",22
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[0].question.answers[1],6.9 Million,"6,9 Milhões",22
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[0].question.answers[2],8.3 Million,"8,3 Milhões",22
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[0].question.answers[3],10.1 Million,"10,1 Milhões",22
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[1].description,When do the cherry blossoms peak in Washington D.C?,Quando as cerejeiras florescem em Washington D.C?,66
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[1].question.answers[0],September,Setembro,22
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[1].question.answers[1],December,Dezembro,22
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[1].question.answers[2],April,Abril,22
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[1].question.answers[3],June,Junho,22
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[2].description,Tourism accounts for roughly what percent of the world's economy?,O turismo responde por qual porcentagem da economia mundial?,66
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[2].question.answers[0],0.01%,0.01%,22
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[2].question.answers[1],2%,2%,22
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[2].question.answers[2],5%,5%,22
quiz,offer_contents:OvfHnBlsMnnVALfiXyk0V:content:pages[2].question.answers[3],10%,10%,22
quiz,offer:OHZgmfxI9FAl1KNL70bXV:title,Take a quiz,Faça um teste,14
quiz,offer:OHZgmfxI9FAl1KNL70bXV:description,Fast Food,Fast Food,18
quiz,offer:OHZgmfxI9FAl1KNL70bXV:orderTitle,Quiz,Teste,8
quiz,offer:OHZgmfxI9FAl1KNL70bXV:orderDescription,Completed,Concluído,24
quiz,offer_contents:OHZgmfxI9FAl1KNL70bXV:content:pages[0].description,Which of the following countries doesn't have a McDonalds?,Qual dos seguintes países não possui um McDonalds?,66
quiz,offer_contents:OHZgmfxI9FAl1KNL70bXV:content:pages[0].question.answers[0],Iceland,Islândia,22
quiz,offer_contents:OHZgmfxI9FAl1KNL70bXV:content:pages[0].question.answers[1],Iraq,Iraque,22
quiz,offer_contents:OHZgmfxI9FAl1KNL70bXV:content:pages[0].question.answers[2],Vatican City,Cidade do Vaticano,22
